observationID,mediaID,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
8bfed477-5656-499c-8ba2-7708d739df94_1,8bfed477-5656-499c-8ba2-7708d739df94,blank,,,,,,,,,,,human,Peter Desmet,,,,
ea08135b-7367-486d-848d-2e827fb5040a_1,ea08135b-7367-486d-848d-2e827fb5040a,blank,,,,,,,,,,,human,Peter Desmet,,,,
32e60a80-1ae5-4b23-99b3-053e562d8d1b_1,32e60a80-1ae5-4b23-99b3-053e562d8d1b,blank,,,,,,,,,,,human,Peter Desmet,,,,
c06b89ab-58bd-4bba-9d71-760228ce49f3_1,c06b89ab-58bd-4bba-9d71-760228ce49f3,blank,,,,,,,,,,,human,Peter Desmet,,,,
dbcdbe76-0ec8-457a-8512-07cc1a6d0f79_1,dbcdbe76-0ec8-457a-8512-07cc1a6d0f79,blank,,,,,,,,,,,human,Peter Desmet,,,,
4505f794-4d90-4abb-a741-455d49f27fe5_1,4505f794-4d90-4abb-a741-455d49f27fe5,blank,,,,,,,,,,,human,Peter Desmet,,,,
77168866-2a9a-457b-a983-34e8086015e9_1,77168866-2a9a-457b-a983-34e8086015e9,blank,,,,,,,,,,,human,Peter Desmet,,,,
8076df58-bec8-45e4-b4b5-8550ffc05aae_1,8076df58-bec8-45e4-b4b5-8550ffc05aae,blank,,,,,,,,,,,human,Peter Desmet,,,,
0e98b93e-6240-490e-b4db-31ea7b643953_1,0e98b93e-6240-490e-b4db-31ea7b643953,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
be8fe0df-5551-44f3-b114-a8d8a5c3fc11_1,be8fe0df-5551-44f3-b114-a8d8a5c3fc11,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
13b58ff5-7ed9-46d2-b3f8-e698600e931e_1,13b58ff5-7ed9-46d2-b3f8-e698600e931e,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
d8427514-a4cd-4787-8728-da4433ccc571_1,d8427514-a4cd-4787-8728-da4433ccc571,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
2e2ae3f0-9b98-4637-9e4d-bbdf8eee920c_1,2e2ae3f0-9b98-4637-9e4d-bbdf8eee920c,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
a552145d-9949-4355-9523-02198a523437_1,a552145d-9949-4355-9523-02198a523437,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
1bd866b3-5c99-42c8-b4a0-75a547fd8760_1,1bd866b3-5c99-42c8-b4a0-75a547fd8760,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
bf610120-bc41-4c87-95ac-8c8849d203ce_1,bf610120-bc41-4c87-95ac-8c8849d203ce,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
abcc45d4-4314-449f-8dca-1732e134dfac_1,abcc45d4-4314-449f-8dca-1732e134dfac,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
1065da4b-2f09-48e8-9819-48fa045014a7_1,1065da4b-2f09-48e8-9819-48fa045014a7,animal,,32FH,Ardea,1,,,,,,,machine,Western Europe species model Version 1,2021-07-05T11:43:57Z,0.9,,
7ab33b3a-158b-42c5-a7e8-444eb5760524_1,7ab33b3a-158b-42c5-a7e8-444eb5760524,animal,,GCHS,Ardea cinerea,1,adult,,,,,,human,Peter Desmet,,,,
